en,fr,it,de,es,ko,kana
,-,-,-,-,-,-
Stench,Puanteur,Tanfo,Duftnote,Hedor,악취,あくしゅう
Drizzle,Crachin,Piovischio,Niesel,Llovizna,잔비,あめふらし
Speed Boost,Turbo,Acceleratore,Temposchub,Impulso,가속,かそく
Battle Armor,Armurbaston,Lottascudo,Kampfpanzer,Armadura Batalla,전투무장,カブトアーマー
Sturdy,Fermeté,Vigore,Robustheit,Robustez,옹골참,がんじょう
Damp,Moiteur,Umidità,Feuchtigkeit,Humedad,습기,しめりけ
Limber,Échauffement,Scioltezza,Flexibilität,Flexibilidad,유연,じゅうなん
Sand Veil,Voile Sable,Sabbiavelo,Sandschleier,Velo Arena,모래숨기,すながくれ
Static,Statik,Statico,Statik,Elec. Estática,정전기,せいでんき
Volt Absorb,Absorbe-Volt,Assorbivolt,Voltabsorber,Absorbe Elec,축전,ちくでん
Water Absorb,Absorbe-Eau,Assorbacqua,H2O-Absorber,Absorbe Agua,저수,ちょすい
Oblivious,Benêt,Indifferenza,Dösigkeit,Despiste,둔감,どんかん
Cloud Nine,Ciel Gris,Antimeteo,Wolke Sieben,Aclimatación,날씨부정,ノーてんき
Compound Eyes,Œil Composé,Insettocchi,Facettenauge,Ojo Compuesto,복안,ふくがん
Insomnia,Insomnia,Insonnia,Insomnia,Insomnio,불면,ふみん
Color Change,Homochromie,Cambiacolore,Farbwechsel,Cambio Color,변색,へんしょく
Immunity,Vaccin,Immunità,Immunität,Inmunidad,면역,めんえき
Flash Fire,Torche,Fuocardore,Feuerfänger,Absorbe Fuego,타오르는불꽃,もらいび
Shield Dust,Écran Poudre,Polvoscudo,Puderabwehr,Polvo Escudo,인분,りんぷん
Own Tempo,Tempo Perso,Mente Locale,Tempomacher,Ritmo Propio,마이페이스,マイペース
Suction Cups,Ventouse,Ventose,Saugnapf,Ventosas,흡반,きゅうばん
Intimidate,Intimidation,Prepotenza,Bedroher,Intimidación,위협,いかく
Shadow Tag,Marque Ombre,Pedinombra,Wegsperre,Sombra Trampa,그림자밟기,かげふみ
Rough Skin,Peau Dure,Cartavetro,Rauhaut,Piel Tosca,까칠한피부,さめはだ
Wonder Guard,Garde Mystik,Magidifesa,Wunderwache,Superguarda,불가사의부적,ふしぎなまもり
Levitate,Lévitation,Levitazione,Schwebe,Levitación,부유,ふゆう
Effect Spore,Pose Spore,Spargispora,Sporenwirt,Efecto Espora,포자,ほうし
Synchronize,Synchro,Sincronismo,Synchro,Sincronía,싱크로,シンクロ
Clear Body,Corps Sain,Corpochiaro,Neutraltorso,Cuerpo Puro,클리어바디,クリアボディ
Natural Cure,Médic Nature,Alternacura,Innere Kraft,Cura Natural,자연회복,しぜんかいふく
Lightning Rod,Paratonnerre,Parafulmine,Blitzfänger,Pararrayos,피뢰침,ひらいしん
Serene Grace,Sérénité,Leggiadro,Edelmut,Dicha,하늘의은총,てんのめぐみ
Swift Swim,Glissade,Nuotovelox,Wassertempo,Nado Rápido,쓱쓱,すいすい
Chlorophyll,Chlorophylle,Clorofilla,Chlorophyll,Clorofila,엽록소,ようりょくそ
Illuminate,Lumiattirance,Risplendi,Erleuchtung,Iluminación,발광,はっこう
Trace,Calque,Traccia,Erfassen,Rastro,트레이스,トレース
Huge Power,Coloforce,Macroforza,Kraftkoloss,Potencia,천하장사,ちからもち
Poison Point,Point Poison,Velenopunto,Giftdorn,Punto Tóxico,독가시,どくのトゲ
Inner Focus,Attention,Forza Interiore,Konzentrator,Foco Interno,정신력,せいしんりょく
Magma Armor,Armumagma,Magmascudo,Magmapanzer,Escudo Magma,마그마의무장,マグマのよろい
Water Veil,Ignifu-Voile,Idrovelo,Aquahülle,Velo Agua,수의베일,みずのベール
Magnet Pull,Magnépiège,Magnetismo,Magnetfalle,Imán,자력,じりょく
Soundproof,Anti-Bruit,Antisuono,Lärmschutz,Insonorizar,방음,ぼうおん
Rain Dish,Cuvette,Copripioggia,Regengenuss,Cura Lluvia,젖은접시,あめうけざら
Sand Stream,Sable Volant,Sabbiafiume,Sandsturm,Chorro Arena,모래날림,すなおこし
Pressure,Pression,Pressione,Erzwinger,Presión,프레셔,プレッシャー
Thick Fat,Isograisse,Grassospesso,Speckschicht,Sebo,두꺼운지방,あついしぼう
Early Bird,Matinal,Sveglialampo,Frühwecker,Madrugar,일찍기상,はやおき
Flame Body,Corps Ardent,Corpodifuoco,Flammkörper,Cuerpo Llama,불꽃몸,ほのおのからだ
Run Away,Fuite,Fugafacile,Angsthase,Fuga,도주,にげあし
Keen Eye,Regard Vif,Sguardofermo,Adlerauge,Vista Lince,날카로운눈,するどいめ
Hyper Cutter,Hyper Cutter,Ipertaglio,Scherenmacht,Corte Fuerte,괴력집게,かいりきバサミ
Pickup,Ramassage,Raccolta,Mitnahme,Recogida,픽업,ものひろい
Truant,Absentéisme,Pigrone,Schnarchnase,Ausente,게으름,なまけ
Hustle,Agitation,Tuttafretta,Übereifer,Entusiasmo,의욕,はりきり
Cute Charm,Joli Sourire,Incantevole,Charmebolzen,Gran Encanto,헤롱헤롱바디,メロメロボディ
Plus,Plus,Più,Plus,Más,플러스,プラス
Minus,Moins,Meno,Minus,Menos,마이너스,マイナス
Forecast,Météo,Previsioni,Prognose,Predicción,기분파,てんきや
Sticky Hold,Glu,Antifurto,Klebekörper,Viscosidad,점착,ねんちゃく
Shed Skin,Mue,Muta,Expidermis,Mudar,탈피,だっぴ
Guts,Cran,Dentistretti,Adrenalin,Agallas,근성,こんじょう
Marvel Scale,Écaille Spéciale,Pelledura,Notschutz,Escama Especial,이상한비늘,ふしぎなうろこ
Liquid Ooze,Suintement,Melma,Kloakensoße,Lodo Líquido,해감액,ヘドロえき
Overgrow,Engrais,Erbaiuto,Notdünger,Espesura,심록,しんりょく
Blaze,Brasier,Aiutofuoco,Großbrand,Mar Llamas,맹화,もうか
Torrent,Torrent,Acquaiuto,Sturzbach,Torrente,급류,げきりゅう
Swarm,Essaim,Aiutinsetto,Hexaplaga,Enjambre,벌레의알림,むしのしらせ
Rock Head,Tête de Roc,Testadura,Steinhaupt,Cabeza Roca,돌머리,いしあたま
Drought,Sécheresse,Siccità,Dürre,Sequía,가뭄,ひでり
Arena Trap,Piège Sable,Trappoarena,Ausweglos,Trampa Arena,개미지옥,ありじごく
Vital Spirit,Esprit Vital,Spiritovivo,Munterkeit,Espíritu Vital,의기양양,やるき
White Smoke,Écran Fumée,Fumochiaro,Pulverrauch,Humo Blanco,하얀연기,しろいけむり
Pure Power,Force Pure,Forzapura,Mentalkraft,Energía Pura,순수한힘,ヨガパワー
Shell Armor,Coque Armure,Guscioscudo,Panzerhaut,Caparazón,조가비갑옷,シェルアーマー
Air Lock,Air Lock,Riparo,Klimaschutz,Bucle Aire,에어록,エアロック
Tangled Feet,Pieds Confus,Intricopiedi,Fußangel,Tumbos,갈지자걸음,ちどりあし
Motor Drive,Motorisé,Elettrorapid,Starthilfe,Electromotor,전기엔진,でんきエンジン
Rivalry,Rivalité,Antagonismo,Rivalität,Rivalidad,투쟁심,とうそうしん
Steadfast,Impassible,Cuordeciso,Felsenfest,Impasible,불굴의마음,ふくつのこころ
Snow Cloak,Rideau Neige,Mantelneve,Schneemantel,Manto Níveo,눈숨기,ゆきがくれ
Gluttony,Gloutonnerie,Voracità,Völlerei,Gula,먹보,くいしんぼう
Anger Point,Colérique,Grancollera,Kurzschluss,Irascible,분노의경혈,いかりのつぼ
Unburden,Délestage,Agiltecnica,Entlastung,Liviano,곡예,かるわざ
Heatproof,Ignifugé,Antifuoco,Hitzeschutz,Ignífugo,내열,たいねつ
Simple,Simple,Disinvoltura,Wankelmut,Simple,단순,たんじゅん
Dry Skin,Peau Sèche,Pellearsa,Trockenheit,Piel Seca,건조피부,かんそうはだ
Download,Télécharge,Download,Download,Descarga,다운로드,ダウンロード
Iron Fist,Poing de Fer,Ferropugno,Eisenfaust,Puño Férreo,철주먹,てつのこぶし
Poison Heal,Soin Poison,Velencura,Aufheber,Antídoto,포이즌힐,ポイズンヒール
Adaptability,Adaptabilité,Adattabilità,Anpassung,Adaptable,적응력,てきおうりょく
Skill Link,Multi-Coups,Abillegame,Wertelink,Encadenado,스킬링크,スキルリンク
Hydration,Hydratation,Idratazione,Hydration,Hidratación,촉촉바디,うるおいボディ
Solar Power,Force Soleil,Solarpotere,Solarkraft,Poder Solar,선파워,サンパワー
Quick Feet,Pied Véloce,Piedisvelti,Rasanz,Pies Rápidos,속보,はやあし
Normalize,Normalise,Normalità,Regulierung,Normalidad,노말스킨,ノーマルスキン
Sniper,Sniper,Cecchino,Superschütze,Francotirador,스나이퍼,スナイパー
Magic Guard,Garde Magik,Magicscudo,Magieschild,Muro Mágico,매직가드,マジックガード
No Guard,Annule Garde,Nullodifesa,Schildlos,Indefenso,노가드,ノーガード
Stall,Frein,Rallentatore,Zeitspiel,Rezagado,시간벌기,あとだし
Technician,Technicien,Tecnico,Techniker,Experto,테크니션,テクニシャン
Leaf Guard,Feuille Garde,Fogliamanto,Floraschild,Defensa Hoja,리프가드,リーフガード
Klutz,Maladresse,Impaccio,Tollpatsch,Zoquete,서투름,ぶきよう
Mold Breaker,Brise Moule,Rompiforma,Überbrückung,Rompemoldes,틀깨기,かたやぶり
Super Luck,Chanceux,Supersorte,Glückspilz,Afortunado,대운,きょううん
Aftermath,Boom Final,Scoppio,Finalschlag,Detonación,유폭,ゆうばく
Anticipation,Anticipation,Presagio,Vorahnung,Anticipación,위험예지,きけんよち
Forewarn,Prédiction,Premonizione,Vorwarnung,Alerta,예지몽,よちむ
Unaware,Inconscient,Imprudenza,Unkenntnis,Ignorante,천진,てんねん
Tinted Lens,Lentiteintée,Lentifumé,Aufwertung,Cromolente,색안경,いろめがね
Filter,Filtre,Filtro,Filter,Filtro,필터,フィルター
Slow Start,Début Calme,Lentoinizio,Saumselig,Inicio Lento,슬로스타트,スロースタート
Scrappy,Querelleur,Nervisaldi,Rauflust,Intrépido,배짱,きもったま
Storm Drain,Lavabo,Acquascolo,Sturmsog,Colector,마중물,よびみず
Ice Body,Corps Gel,Corpogelo,Eishaut,Gélido,아이스바디,アイスボディ
Solid Rock,Solide Roc,Solidroccia,Felskern,Roca Sólida,하드록,ハードロック
Snow Warning,Alerte Neige,Scendineve,Hagelalarm,Nevada,눈퍼뜨리기,ゆきふらし
Honey Gather,Cherche Miel,Mielincetta,Honigmaul,Recogemiel,꿀모으기,みつあつめ
Frisk,Fouille,Indagine,Schnüffler,Cacheo,통찰,おみとおし
Reckless,Téméraire,Temerarietà,Achtlos,Audaz,이판사판,すてみ
Multitype,Multi-Type,Multitipo,Variabilität,Multitipo,멀티타입,マルチタイプ
Flower Gift,Don Floral,Regalfiore,Pflanzengabe,Don Floral,플라워기프트,フラワーギフト
Bad Dreams,Mauvais Rêve,Sogniamari,Alptraum,Mal Sueño,나이트메어,ナイトメア
